term,definition
인증기관(CA),"인증된 암호방식(AE, Autheticated Encryption)인증된 암호 방식(AE)은 데이터의 기밀성
(confidentiality), 무결성(integrity) 및 진정성(authenticity)을 동시에 보장하는 암호화 방임.
이의 변형으로 관련 데이터로 인증된 암호 방식(AEAD, AE with Associated Data)가 있으며,
암호화시 관련 데이터(AD)를 암호문 및 표시될 컨텍스트에 결합하여 유효한 암호문을 다른
컨텍스트로 잘라내어 붙여넣기 하려는 공격시도(Cut-and-Paste Attack)를 방지함."
"인증서 검증 프로토콜(SCVP, Simple Certificate Validation Protocol)","SCVP 서버와 고객 간의 프로토콜로서 서버는 인증서 유효성에 관한 정보와 믿을 수 있는
인증서까지의 인증서 경로 유효성 등의 다양한 정보를 클라이언트에게 제공."
"인증서 관리 프로토콜(CMP, Certificate Management Protocol)","인증서를 각 실체 사이(인증 기관-인증 기관, 인증 기관-종단 실체, 종단 실체-종단 실체)
에서 전송하기 위한 프로토콜임. 인증서를 발급하고 인증서를 사용자에게 전달하는 절차,
인증 기관 간의 상호인증과 관련된 절차, 인증서를 발급 받는 종단실체가 인증서에 포함된
공개 키에 대응되는 개인 키를 소유하고 있음을 인증 기관이 증명하는 개인 키 소유 증명
절차, 인증 기관의 암호 키 갱신을 위한 절차 등으로 구성."
인증서 정책(Certificate policy),"공개 키 기반 구조에서 특정 그룹에 의하여 사용될 인증서 발급 정책, 인증서 사용 목적,
공표 방법 등 인증서와 관련된 일련의 규정을 의미하는 정책으로써 인증업무준칙(CPS)으로
구체화됨."
"인증서 폐지 목록(CRL, Certificate Revocation List)","공개 키 기반 구조에서 사용자 혹은 인증 기관의 인증서가 만료되지 않은 시점에서,
주체의 소속 변경 혹은 개인 키의 노출 등의 이유로 무효화된 인증서에 대한 목록을 알리기
위하여 이들 정보를 인증 기관의 개인 키로 서명한 데이터 구조."
인캡슐레이션(Encapusulation),"컴퓨터 통신에서 상위 계층의 통신 규약 정보를 하위 통신 규약 프레임 사용자 정보 영역에
내장시켜 전송하는 기술. 복수의 프로토콜층에서 정보를 하나로 종합해서 통신망에 보내는
프로세스라고도 하는데 터널링(tunneling)과 같은 의미."
인터넷 전화 스팸(VoIP SPAM),"VoIP 전화 서비스에 연관되어 생성되는 스팸. 일반 전화와는 달리 VoIP 전화는 인터넷에
기반을 두고 있어 스팸 공격의 가능성이 매우 높음. 종류로는 크게, 전화로 걸려 오는 전화
스팸과 이메일과 유사하게 메신저 서비스에 연결되어 들어오는 인스턴트 메시징 스팸,
그리고 구독 메시지를 대량으로 발송하는 프레즌스(presence) 스팸 등이 있음. VoIP 스팸
방지 기술로는 음성이나 비디오, 인스턴트 메시징 등의 내용물을 필터링하거나, 수신 허가
(white list), 또는 수신 불가(black list) 등 주소를 관리하는 방법, 수신시마다 수신자의
승락을 얻어 연결시키는 방법, SIP 등 프로토콜로 안티 스팸 프레임워크를 구축하는 방법,
그리고 여러 경험이나 습관, 통계 등을 이용하여 보다 지능적인 스팸 방지 서비스를 제공
하는 방법 등이 연구되고 있음."
인터넷 준실명제,"제한적 본인 확인제는 2012년 8월 헌법재판소의 위헌 결정으로 사실상 폐지되었으며, 이후
2021년 과학기술정보방송통신위원회 정보통신방송법안심사소위원회에서 제한적 본인 확
인제와 유사한 ‘인터넷 준실명제’를 도입하는 내용의 정보통신망법 개정안이 의결되었음.
인터넷 준실명제는 일일 평균 이용자 수가 10만명 이상이면서 대통령령으로 정하는 기준
에 해당하는 정보통신서비스 제공자에게 게시물이나 댓글을 올리는 이용자의 아이디를
공개하도록 하고 이를 어기면 3천만원 이하의 과태료가 부과되는 제도임."
인터넷침해사고대응지원센터(KrCERT),"인터넷침해사고대응지원센터는 한국인터넷진흥원 내의 침해사고 대응팀으로서, 국내에서
운영되고 있는 전산망의 침해사고 대응 활동을 지원하고, 전산망 운용기관 등에 대해
통일된 협조 체제를 구축하여 침해사고 예방을 위한 기술지원, 실질적인 침해사고 대응
및 분석, 피해 복구 기술 지원, 침해사고 대응을 위한 단일 창구 운영을 지원 함."
인터닉(InterNIC),"인터넷 주소 자원과 정보를 관리하는 기관. 국제 인터넷 주소 관리 기구(ICANN)에서 운영
하며 세계 각국에 네트워크 정보 센터(NIC)가 있으며, 우리나라에서는 한국인터넷진흥원
(KISA) 하에 한국인터넷정보센터(KRNIC)가 국내의 IP 주소와 도메인 등록/관리, 국내의
인터넷 서비스 제공자와 네트워크 간의 조정과 중재, 인터넷 사용자에 대한 정보와 조언을
제공하는 서비스를 제공함."
"임의 접근통제(DAC, Discretionary Access Control)","접근통제 정책의 하나로 시스템 객체에 대한 접근을 사용자 개인 또는 그룹의 식별자를
기반으로 제한하는 방법. 여기서 임의적이라는 말은 어떤 종류의 접근 권한을 갖는 사용자는
다른 사용자에게 자신의 판단에 의해서 권한을 줄 수 있다는 것임. 주체와 객체의 신분
및 임의적 접근통제 규칙에 기초하여 객체에 대한 주체의 접근을 통제하는 기능."
"자동 가입 방지 기술(CAPTCHA, Completely Automated Public Test to tell","Computers and Humans Apart)
웹사이트 회원 가입 시 사람인지 컴퓨터인지를 식별하는 인증기술로서 프로그램을 통해
자동으로 회원 가입을 하는 것을 방지하는 기술."
재전송 공격(Replay attack),이전에 전송된 메시지를 다시 사용하는 위장 공격.
저작권 보호 기술(Copyright Protection Technology),"디지털 콘텐츠 산업의 가치 사슬(value chain)에서 콘텐츠를 안전하게 유통하고 보호하는
정보보호 기술의 일종. 디지털 워터마킹(Watermarking), 디지털 핑거프린팅(Fingerprinting),
콘텐츠 인식, 암호기반 DRM 등이 있음."
저작권 인증 제도(Copyright Authentication System),"인증 기관이 저작물에 대한 권리 관계를 확인하고 인증서를 발급해 주는 제도. 해외
콘텐츠 시장에서 우리 저작물의 안전한 거래 및 경쟁력 강화에 도움이 되고자 2006년
저작권법에 도입되었음(저작권법 제2조 제33호). 저작권 인증은 저작물 등에 대한 권리
자임을 확인하는 ‘권리 인증’과 저작물 등의 권리자로부터 이용 허락을 받았음을 확인하는
‘이용 허락 인증’으로 나뉘며, 문화체육관광부로부터 인증 기관으로 지정된 한국저작권
위원회가 2012년 2월부터 저작권 인증 업무를 수행하고 있음."
전사 공격(Brute force attack),"암호문의 암호 키를 찾기 위해 모든 경우의 수를 적용하여 공격하는 방법. 과거에는
암호문을 알아볼 수 있는 평문을 찾기 전에는 다른 키로 그 뜻을 파악하여 공격하였으나,
최근에는 ID와 패스워드를 알아내기 위하여 반복 대입하는 공격이 사용되고 있음."
"전사적 위험 관리 (ERM, Enterprise Risk Management)","경영 리스크를 전사적 시각에서 하나의 리스크 포트폴리오로 인식 및 평가하고, 명확한
책임 주체 하에 리스크를 통합적으로 관리하는 체계."
"전송계층 보안 (TLS, Transport Layer Security)","네트워크 상에서 통신하는 애플리케이션과 사용자들 간에 보안을 위한 프로토콜. 서버/
클라이언트가 통신 시 도청, 간섭, 위조를 방지하고 전송계층 종단간 보안 및 데이터 무결성을
확보할 수 있음."
전용 백신,"일반백신과 달리 특정 악성코드만을 치료하는 백신프로그램으로, PC에 설치되지 않고
메모리상에 수행되어 치료 속도가 빠른 백신 프로그램."
전자 ID지갑(Electronic IDentity Purse),"일상생활에서 신용카드, 신분증 등을 넣어 사용하고 있는 '지갑'처럼 각종 전자인증에
필요한 개인정보와 인증정보(ID/PW, 인증서 등)를 언제 어디서나 저장, 이용할 수 있는
사이버상의 디지털 지갑으로 아이덴티티 관리시스템의 일종."
전자 여권(e-Passport),"사진, 지문, 홍채 등 신원확인 정보가 입력된 마이크로 칩이 들어간 여권. 국제범죄 및
테러의 확산이 국가 안보의 중대한 위협 요소로 대두되면서 세계 각국이 여권 위·변조
방지를 통한 보안 강화 및 자국민의 해외 여행 시 편익 도모 등을 위하여 전자여권을 도입함."
전자 주민등록증,"개인정보가 들어있는 IC 칩을 장착한 주민등록증. 전자주민증은 암호화와 정보 저장 매체
기술 같은 여러 분야의 최첨단 기술을 적용하여 보안 기능과 자기 인증 기능이 뛰어남.
유럽, 아시아 같은 세계 여러 나라에서 전자주민증을 도입함."
전자서명 인증관리 센터,"국내 최상위 인증 기관으로 1999년 「전자서명법」의 시행으로 한국인터넷진흥원(KISA)
내에 설립됨. 전자서명을 안전하고 신뢰성 있게 이용할 수 있는 환경을 조성하고 공동인증
기관들을 효율적으로 관리하는 것이 센터의 기능과 역할임. 주요 업무로는 공동인증기관에
대한 공동인증서 발급ㆍ관리 등 인증업무와 전자서명인증 관련 기술 개발ㆍ보급, 전자서명
인증 관련 제도 연구 및 국제협력 지원임."
전자서명(Digital signature),"전자적 문서의 생성원과 무결성을 이 문서의 수신자가 검증할 수 있고 제 3자에 의한 해당
문서의 위조로부터 발신자 및 수신자를 보호하고 또한 수신자에 의한 위조로부터도 발신자를
보호하기 위하여 문서에 서명하기 위한 특수한 서명 방식으로서, 비대칭 암호화 시스템과
송신자의 개인 키로 메시지 다이제스트를 암호학적 변환을 함으로써 만들어짐. 데이터에
대한 인증 및 위조 방지를 목적으로 공개 키 암호 체계에서 사용자의 개인 키를 비밀정보로
사용하여 생성하는 값."
"전자파 도청(TEMPEST, Transient Electromagnetic Pulse Surveillance","누설 전자파 방어 대책. 컴퓨터나 통신기기를 사용할 때 누설되는 전자파를 제3자가
수신함으로써 정보가 유출되는 것을 막기 위한 대책."
접근 권한(Access right),"시스템 안에서 특정 사용자가 수행할 수 있는 작업(예: 판독, 기록, 실행, 생성, 삭제)을
특별히 정해 놓은 것. 불법 접근으로부터 시스템을 보호하거나 사용자의 파일을 보호하기
위해 각 파일에 대해 판독이 가능한가, 기록이 가능 여부 또는 실행 가능 여부 등의 권한이
사용자마다 정해져 있음."
접근 제어 (Access Control),"접근을 감시하고, 접근을 요청하는 사용자 식별, 접근 시도 기록, 접근 허용 또는 거부를
위한 하드웨어, 소프트웨어 및 관리자가 수행하는 일련의 절차."
접근 통제(Access control),"보안정책에 따라, 접근객체(시스템 자원, 통신자원 등)에 대한 접근주체(사용자, 프로세스 등)의
접근권한 확인 및 이를 기반으로 한 접근제어를 통해 자원에 대한 비인가된 사용을 방지
하는 정보보호 기능."
"정보공유분석 센터(ISAC, Information Sharing and Analysis Center)","사이버 테러나 정보 침해 등에 공동으로 대응하는 센터. 회원사 간 정보 보호를 공동으
로 대처함으로써 업무의 효율성을 제고하고 비용도 절감할 수 있음. 미국이 지난 1998년
금융·통신·국방·교통 등 8개 분야에 ISAC를 운영하면서 시작되었음. 우리나라는 정보통
신기반보호법에 의하여 금융 ISAC, 통신 ISAC 등을 운영 중임."
정보보호 감사제도(Information Security Audit System),"기업의 정보 보호 관리체계를 검사하고 평가하는 제도로, 회계 감사와 마찬가지로 정보
보호를 위한 객관적 기준이 되는 통제항목들을 갖고 평가함."
정보보호 관리체계 인증,"정보보호를 위한 일련의 조치와 활동이 인증기준에 적합함을 한국인터넷진흥원 또는
인증기관이 증명하는 제도."
"정보보호 관리체계(ISMS, Information Security Management System)","기업 또는 조직이 보유한 산업기밀 등 중요 정보자산을 안전하게 보호하기 위한 종합적인
절차와 대책. 각종 위협으로부터 정보자산을 보호하는 위험관리 기반의 체계적이고 지속
적인 프로세서 개선 활동을 지칭함."
정보보호 및 개인정보보호 관리체계 인증,"정보보호 및 개인정보보호를 위한 일련의 조치와 활동이 인증기준에 적합함을 한국인터넷
진흥원 또는 인증기관이 증명하는 제도."
정보보호 시스템(Information Security System),"정보 통신망으로 수집, 저장, 검색과 그밖에 송신과 수신되는 정보 훼손, 변조, 유출 등을
막기 위한 기술이나 장치로서, 침입 차단, 침입 탐지 시스템 같은 정보 보안 시스템과 개인
정보 암호화나 모니터링 시스템 같은 개인정보 보호 시스템을 포함함. 즉, 정보에 대한
훼손, 변조, 유출 등을 방지하기 위한 일련의 기술이나 장치."
정보보호(Information security),"정보의 수집․가공․저장․검색․송신․수신 도중에 정보의 훼손․변조․유출 등을 방지하기 위한
관리적․기술적 수단 또는 그러한 수단으로 이루어지는 행위. 내․외부의 위협요인들로부터
네트워크, 시스템 등의 H/W와 S/W, 데이터베이스, 통신 및 전산시설 등 정보자산을 안전
하게 보호․운영하기 위한 일련의 행위."
"정부 공개 키 기반 구조(GPKI, Government Public Key Infrastructure)","전자 정부 구축을 위해 행정 기관 간 전자 문서 교환 또는 일반 국민을 대상으로 전자
행정 서비스 제공 시 해당 공무원의 신원 확인 또는 행정 전자 문서의 신뢰성을 제고하기
위한 체계. 우리나라의 경우 전자정부법에 의해 정부가 정책 및 최상위 인증 기관을 담당
하고 있고 각 부처에서 인증 기관의 역할을 수행함. 현재 정부 공개 키 기반 구조(GPKI)의
업무 범위는 행정 기관에서 금융 기관 및 공공 기관으로 확대되고 있는 추세임."
정책 매핑(Policy mapping),"공개 키 기반구조의 인증서에서 사용되는 항목으로서, 어떤 영역에 속한 CA 인증서에만
적용되며, CA가 다른 보안 영역에 속한 CA를 인증할 때 서로의 인증서 정책이 등가임을
공표하는 것."
"정책 승인 기관(PAA, Policy Approval Authority)","모든 인증 과정이 시작되는 루트 인증 기관. 직접적으로는 하위 계층의 PCA(정책 인증
기관)들을 인증해 주고, 완전히 다른 기반 구조의 PAA(정책 승인기관)와의 상호 인증을
허가해 주는 역할도 담당."
"정책 인증 기관(PCA, Policy Certification Authority)","디지털 인증서 정책을 인증하는 기관. 정책 승인 기관(PAA)의 하위에 위치하여 정책 승인
기관(PAA)의 정책에 준하여 자체 도메인 내의 사용자와 인증 기관이 따라야 할 정책 수립과
인증을 담당함. 정책 승인 기관(PAA)으로부터 발급 받은 인증서를 하위 계층의 인증 기관
(CA, Certification Authority)에 보내고, 인증 기관(CA)의 공개 키를 인증하며, 인증서와
인증서 폐기 목록(CRL, Certificate Revocation List)를 관리하는 역할을 함."
"제3 신뢰 기관(TTP, Trusted Third Party)","정보보호 관련 및 인증활동에 있어 다른 실체들이 신뢰하는 보호 기관 또는 그것의 대행
기관. 국제 표준의 문헌에 의하면 제 3의 신뢰기관은 인증을 위하여 송신자, 수신자,
전달기관 등이 신뢰할 수 있는 기관."
제로 트러스트(Zero Trust),"신뢰할 수 있는 네트워크라는 개념 자체를 배제하며, 기업망 내외부에 언제나 공격자가
존재할 수 있음을 가정함. 명확한 인증 과정을 거치기 전까지는 모든 사용자, 기기 및
네트워크 트래픽을 신뢰하지 않으며, 인증 후에도 끊임없이 신뢰성을 검증함으로써 기업의
정보 자산을 보호할 수 있는 보안 모델을 의미함."
제로데이(ZeroDay),보안 취약점에 대한 패치가 제공되고 있지 않는 시점을 의미함.
제로데이 공격(Zeroday Attack),"새로운 보안 취약점이 발견되었을 때 보안패치가 발표되기 전에 해당 취약점을 이용한
공격이 발생하는 것을 의미하며, 취약점에 대한 공격의 신속성이나 대처 방법이 없다는
위험성을 표현하기도 함."
좀비 PC(Zombie PC),"해커가 웹사이트나 스팸메일 등을 통해 악성코드를 심어놓은 PC로, 해커가 원격에서 조종
하여 좀비 PC 사용자도 모르게 자신의 의지와 상관없이 해커의 명령을 전달받아 스팸
발송, 분산서비스거부(DDoS) 공격 등에 악용되게 됨."
"종합위험관리시스템 (RMS ,Risk Management System)","기업내 IT자원의 취약점 및 위험요소들을 분석, 평가해 사전에 보안사고를 예방하는 능동형
솔루션으로 IT자산의 가치, 취약점의 위험도, 위협의 심각성 등의 상관 관계를 정확하게
산출, 최적의 보안위험 관리를 지원, 위험 방어 위한 정책 설정."
주민등록증 진위확인 시스템,"행정 기관이나 금융 기관 등에 설치한 식별 단말기를 이용 주민 등록증의 진위 여부를
확인하는 시스템. 단말기를 통해 주민 등록증의 앞뒷면에 있는 번호·사진·지문 등의 특징과
행정자치부 전산 센터 데이터베이스(DB)의 원본을 실시간으로 조회해 진위 여부를 곧바로
확인할 수 있는 시스템. 주로 행정 기관에서 사용하고 있으며, 은행 등 금융 기관에서도
본인 확인 및 업무 처리 간소화를 위해 도입하고 있음."
"주요 정보 통신 기반 시설(CNI, Critical Network Infrastructure)","전자적 침해 행위로부터 보호해야 하는 국가·사회적으로 중요한 정보통신기반시설이며,
정보통신기반시설은
국가안전보장ㆍ행정ㆍ국방ㆍ치안ㆍ금융ㆍ통신ㆍ운송ㆍ에너지
등의
업무와 관련된 전자적 제어ㆍ관리시스템과 정보통신망을 포함. 주요정보통신기반시설로
지정되면 그 시설에 대해서는 주기적으로 취약점 분석·평가, 보호대책 수립 등 정보통신
기반보호법에 명시된 보호조치를 실시해야 함. 유사한 용어로 핵심 국가 기반시설(CNI,
Critical National Infrastructure)이 있으며, 이는 정보통신기반시설이 있는 관련 시설을
통칭하여 부르는 용어임."
"중간자 공격(MITM, Man In The Middle attack)","통신하고 있는 두 당사자 사이에 들키지 않게 끼어들어 당사자들이 교환하는 통신내용을
바꾸거나 도청하는 공격 기법."
책임 추적성(Accountability),"한 실체의 행동이 그 실체에 의해서 유일하게 추적될 수 있음을 나타내는 특성. 시스템
내의 각 개인은 유일하게 식별되어야 한다는 정보보호 원칙에 의해서 정보 처리 시스템은
정보보호 규칙을 위반한 개인을 추적할 수 있고, 각 개인은 그의 행위에 대해서 책임을 짐.
보안 감사 기록에 근거를 두고 있는 것이 일반적임."
충돌 회피 해시 함수(Collision-resistant hash function),"동일한 출력을 가지는 서로 다른 두 입력을 찾기가 계산적으로 불가능한 성질을 갖는
해시 함수."
취약성 분석 (Vulnerability Analysis),"정보 시스템 또는 제품에 대해 보안 결함 여부를 확인하고, 이미 제안되어 있는 보안 대책의
적합성과 효과성을 분석해 본다. 이에 따라 보안 대책을 구현하고, 또한 그 대책이 적합
한지 확인하는 일련의 검사 과정을 의미함."
취약점(Vulnerability),"기능명세, 설계 또는 구현단계의 오류나 시동, 설치 또는 운용상의 문제점으로 인하여 정보
시스템이나 네트워크가 내포하고 있는 취약한 부분으로 보안의 위협 대상이 됨."
"침입 방지 시스템(IPS, Intrusion Prevention System)","침입을 탐지한 이후 즉시 행위를 차단할 수 있도록 설계되어 침입 사고에 대한 예방 및
방지를 할 수 있음. 침입 탐지시스템과 비교하여 능동적인 차단 기능을 포함하여 동작할
수 있다는 것이 가장 큰 차이점임."
침입 탐지(Intrusion detection),정보 시스템의 보안을 위협하는 침입행위가 시도되거나 발생할 경우 이를 탐지하는 기능.
침입자(Intruder),"전산망 등을 이용하여 정보 시스템에 불법으로 침입하여 자료를 유출, 변조, 파괴하는 등의
범죄적 행위를 하는 사람."
"침입탐지시스템(IDS, Intrusion Detection System)","네트워크나 시스템의 사용을 실시간으로 탐지하여 이상행위를 모니터링하고 식별할 수
있는 알람을 띄워주는 시스템. 네트워크 기반의 침입을 탐지하는 NIDS(Network IDS)과
시스템 기반의 침입을 탐지하는 HIDS(Host IDS)로 나누기도 하며, 탐지 방법에 따라
시그니쳐(signature) 또는 행위기반(Anomally) 탐지 방식으로 나눌 수 있음."
침투 테스트 (Penetration Testing),"시스템 소유자의 허가를 받아 시스템의 보안에 대해 합법적으로 침투를 시도하는 보안
보안 테스트의 일종. 침투자들은 모든 시스템 설계 및 구현 문서를 사용할 수 있는 것으로
가정할 수 있으며, 여기에는 시스템 소스 코드 목록, 설명서 및 회로 다이어그램등이 포함
될 수 있음. 침투자들은 일반 사용자들에게 적용되는 제약과 달리 아무런 제약도 받지
않고 작업을 수행. 침투 테스트의 목적은 해커들이 이용할 수 있는 취약점들을 찾아내어
제거하는 것으로, 테스트를 위한 침투자들은 타이거 팀이라고도 불리며, SATAN과 같이
자동화 소프트웨어 패키지를 사용하기도 함."
침해 사고(Incident),"모든 사이버 공격 행위나 그 결과에 따라 생긴 여러 가지 피해. 해킹, 컴퓨터 바이러스,
논리 폭탄, 메일 폭탄, 서비스 거부 또는 고출력 전자기파 같은 방법으로 정보 통신망 또는
이와 관련한 정보 시스템이 공격을 당하여 생긴 문제를 말하며, 바이러스, 트로이잔, 웜,
백도어, 악성 코드 같은 공격, 인가되지 않은 네트워크 정보 접근, 시스템 접근, 서비스
방해 등이 있음."
"침해사고대응팀(CERT, Computer Emergency Response Team)","침해사고대응팀(Computer Emergency Response Team). CERT는 컴퓨터 해킹 사고로부터
보호하기 위해 결성된 보안 전문 조직."
캐슬(CASTLE),"주요 취약점을 이용해 웹서버를 공격하는 침입시도 및 공격코드들을 사전에 차단할 수
있도록 개발된 홈페이지 해킹 방지 프로그램. 한국인터넷진흥원(KISA)에서 개발하여
보급하고 있으며, 운영하고 있는 홈페이지에 설치하여 적용함으로써 홈페이지의 공격 방어
능력을 향상시켜 보안성을 높일 수 있음."
캐시 포이즈닝(Cache Poisoning),"사용자의 요청에 의한 서버로부터의 데이터 전송을 효율적으로 제공하기 위하여 파일 및
데이터들을 임시로 저장소에 저장하여 제공해주게 되는데, 이때 임시로 저장된 파일 및
데이터를 변조시키는 행위를 말함."
커버로스(Kerberos),"분산환경에서 개발자와 관리자 및 사용자에게 특정 사용자나 서비스에 대한 권한 부여
인증(authentication)을 통해 여러 형태의 공격을 막을 수 있도록 한 인증 메커니즘. 커버
로스는 MIT에서 개발한 인증 서비스 시스템으로 대칭 암호화 시스템에 기반을 두고 있으며
개방 네트워크상에서 인증과 통신의 암호화를 시행하여, 보안성을 확보함."
컨테이너(Container),"애플리케이션 가상화 환경에서 애플리케이션을 패키징하고 안전하게 실행하는 방법을 말함.
호스트 OS 위에 컨테이너 엔진을 설치하고 애플리케이션 작동에 필요한 바이너리, 라이브러리
등을 하나로 모아 각자가 별도의 서버인 것처럼 사용하는 환경."
"컴퓨터 네트워크 공격(CNA, Computer Network Attack)","컴퓨터와 네트워크에 상주하는 정보를 불법적으로 획득, 변조 또는 파괴하는 것. 또는
컴퓨터와 네트워크 자체를 교란, 방해, 훼손 또는 파괴하여 네트워크를 사용하는 객체에게
네트워크 서비스를 제공하지 못하도록 하는 모든 행위."
컴퓨터 보안(Computer security),"정보 시스템에서 인증, 접근통제, 무결성, 기밀성, 감사 기록, 가용성과 같은 정보보호기능
및 목표를 제공하기 위한 방법."
컴퓨터 포렌식(Computer Forensic),"사이버 범죄를 과학적으로 분석해 법적 대응 근거를 마련하는 디지털 증거화 기술 및 솔루션.
컴퓨터 범죄 증거 수집과 보존을 위한 핵심적인 역할을 하는 것으로 용의자가 지웠다고
생각하는 파일과 데이터를 복구하는 방법, 암호화된 데이터와 특수 소프트웨어에 의해
다른 파일 내에 숨겨진 스테가노그래피(steganography) 데이터를 찾는 방법, 데이터가
숨겨질 수 있는 파일 슬랙, 대체 데이터 스트림, 파티션 갭, 웹 캐시, 히스토리 로그, 스왑
파일을 비롯한 여러 곳에 남겨져 있는 증거를 찾는 법, 컴퓨터와 디지털 증거를 수색하고
압류하기 위한 단계별 지침, 휘발성 증거를 보존하는 법과 디스크 이미징을 사용하는 방법,
수색이나 압류와 관련된 법적 문제, 법원에서 증거 보존 문제 등 컴퓨터 범죄와 관련된
컴퓨터 시스템의 수사를 말함."
코드 난독화(Code Obfuscation),"프로그램 코드를 읽기 어렵게 일부 또는 전체를 변경하는 것. 난독화의 대상에 따라 크게
▲ 소스 코드 난독화와 ▲ 바이너리 난독화로 나눔. 소스 코드 난독화는 C/C++/자바 등의
프로그램의 소스 코드를 알아보기 힘든 형태로 바꾸는 기술이고, 바이너리 난독화는
컴파일 후에 생성된 바이너리를 역공학을 통해 분석하기 힘들게 변조하는 기술."
코드 서명(Code Signing),"인터넷 또는 무선 환경에서 배포되는 실행 파일이 정당한 제작자에 의해 제작되었고 위
변조 되지 않았음을 확인하는 방법. 배포되는 파일을 제작자가 전자서명 하여 유포하며,
사용자는 웹 브라우저를 통해 제작자의 인증서 및 파일의 전자서명을 검증."
콘텐츠 보안(Content Security),"음악, 동영상 등 디지털 콘텐츠의 불법 복제 및 유통 방지를 위한 기술적/관리적 수단.
콘텐츠 보안 방법으로는 디지털 워터마킹, 암호화 기법 등이 있음."
콘텐츠 인식 기술(Content Recognition Technology),"멀티미디어의 고유한 특징을 추출하여 데이터베이스화 하고 이를 기반으로 임의의 콘텐츠를
인식하는 기술. 예를 들어, 동영상 콘텐츠 인식 기술은 각각의 동영상에서 프레임 단위
별로 특정 인식 정보를 추출해 데이터베이스에 저장한 후 고속 검색 질의를 통해 저작권
동영상 여부를 판별함."
큐알코드(QR code),"흑백 격자 무늬 패턴으로 정보를 나타내는 매트릭스 형식의 2차원 바코드의 한 가지.
기존의 바코드는 20자 내외의 숫자 정보만 저장할 수 있는 반면 QR코드는 숫자 최대
7,089자, 문자 최대 4,296자, 이진수 최대 2,953바이트, 한자 최대 1,817자를 저장할 수
있으며, 일반 바코드보다 인식 속도와 인식률, 복원력이 뛰어남."
크라임웨어(Crimeware),"범죄의 ‘Criminal’과 소프트웨어 ‘Software’의 합성어. 정보유출, 분산서비스거부(DDoS),
원격제어 등 온라인 범죄 행위를 조장하기 위해 만들어진 악성 코드 또는 악성 프로그램
들을 의미."
크래커(Cracker),"허가되지 않은 시스템에 접근해서 데이터를 훼손하거나 시스템의 비정상적인 동작을
유발하는 사람."
크래킹(Cracking),허가받지 않은 시스템에 강제로 침입하여 정신적인 피해나 물리적인 피해를 주는 것.
"크로스 사이트 스크립팅(XSS, Cross-site Scripting)","사용자 브라우저에 홈페이지 내용을 표현하기 위해 사용하는 스크립트를 악용할 수 있는
취약점이나 해킹 기법을 의미. 홈페이지 게시판, 전자메일 등에 악의적인 목적의 스크립트를
숨겨놓고, 사용자가 해당 게시물 또는 메일을 클릭하였을 때 악성 스크립트가 실행되어
로그인 정보나 개인정보, 내부 자료 등을 탈취."
크리덴셜(Credentials),"실체의 신원을 확인하기 위해서 전송되는 데이터로서, 서로 신뢰할 수 없는 두 인증 서버
간의 통신 시 신임장을 교환하여 서로의 신원을 검증함."
"클라우드 액세스 보안 브로커 (CASB, Cloud Access Security Broker)","엔터프라이즈 사용자와 클라우드 서비스 공급자 사이에 배치되는 보안 정책 실행 지점.
CASB는 인증, 자격 증명 매핑, 암호화, 맬웨어 감지 등 다양한 보안 정책을 결합하여
인증된 응용 프로그램, 인증되지 않은 응용 프로그램, 관리형 디바이스 및 관리되지 않는
디바이스에서 클라우드 앱 보안을 보장하는 유연한 엔터프라이즈 솔루션을 제공할 수 있음."
"키 관리 기반 구조(KMI, Key Management Infrastructure)","암호문의 소유자(일반적인 암호 시스템에서 키를 소유한 사람)가 아닐지라도 사전에 약속
된 어떤 특정한 조건 하에서 허가된 사람에게 복호화가 가능한 능력을 제공하는 시스템.
암호 시스템에서 암호용 키를 잊어버리는 등의 상황에 대비해서 제3자가 키를 안전하게
보관하고, 일정한 조건이 갖추어졌을 때 키를 복원해 주는 시스템."
키 관리(Key management),"보안 정책에 의해 키의 생성, 등록, 인가, 등록취소, 분배, 설치, 저장, 압축, 폐지, 유도,
파괴 등을 관리하는 것."
키 로거 공격(Key Logger Attack),"컴퓨터 사용자의 키보드 움직임을 탐지해 ID나 패스워드, 계좌번호, 카드번호 등과 같은
개인의 중요한 정보들을 몰래 빼가는 해킹 공격. 이 공격 도구는 공격대상이 되는 컴퓨
터에 몰래 설치되어 공격 대상 컴퓨터에 입력되는 중요한 데이터를 공격자에게 전송함."
키 로거(Key logger),"사용자의 키보드 입력값을 로그파일로 저장하여 유출하거나 원격의 해커에게 전송하여
중요한 정보를 빼내는 악성 프로그램."
"키 변환 센터(KTC, Key Translation Center)","키 변환 센터와 키를 각각 공유하고 있는 각 실체들 사이에 키 변환 임무를 수행하는
신뢰할 수 있는 실체."
키 복구(Key recovery),"기밀성 목적의 암호 사용에 있어, 암호화된 평문을 복호화할 수 있는 키 또는 키와 관련된
정보를 일정한 자격을 가진 권한이 있는 사람 또는 기관에게 위탁, 보관한 후, 키 분실
시에 위탁, 보관된 정보를 사용하여 키를 복구."
"키 분배 센터(KDC, Key Distribution Center)",키 분배에 사용되는 비밀 데이터 값을 생성하는 신뢰할 수 있는 제3의 신뢰기관.
